Hora	Tiempo(nSeg)	ECG(V)							
01:28:00 p. m.	455.00	2.7							
01:28:00 p. m.	456.00	2.82							
01:28:00 p. m.	457.00	2.86							
01:28:00 p. m.	458.00	2.84							
01:28:00 p. m.	459.00	2.75							
01:28:00 p. m.	460.00	2.61							
01:28:00 p. m.	461.00	2.81							
01:28:00 p. m.	462.00	2.77							
01:28:00 p. m.	463.00	2.79							
01:28:00 p. m.	464.00	2.75							
01:28:00 p. m.	465.00	2.8							
01:28:00 p. m.	466.00	2.73							
01:28:00 p. m.	467.00	2.75							
01:28:00 p. m.	468.00	2.76							
01:28:00 p. m.	469.00	2.72							
01:28:01 p. m.	470.00	2.85							
01:28:01 p. m.	471.00	2.68							
01:28:01 p. m.	472.00	2.56							
01:28:01 p. m.	473.00	3.28							
01:28:01 p. m.	474.00	3.01							
01:28:01 p. m.	475.00	2.8							
01:28:01 p. m.	476.00	2.94							
01:28:01 p. m.	477.00	2.81							
01:28:01 p. m.	478.00	2.92							
01:28:01 p. m.	479.00	2.85							
01:28:01 p. m.	480.00	2.86							
01:28:01 p. m.	481.00	2.82							
01:28:01 p. m.	482.00	2.81							
01:28:01 p. m.	483.00	2.67							
01:28:01 p. m.	484.00	2.75							
01:28:01 p. m.	485.00	2.91							
01:28:01 p. m.	486.00	2.85							
01:28:01 p. m.	487.00	2.77							
01:28:01 p. m.	488.00	2.75							
01:28:01 p. m.	489.00	2.69							
01:28:01 p. m.	490.00	2.82							
01:28:01 p. m.	491.00	2.8							
01:28:01 p. m.	492.00	2.75							
01:28:01 p. m.	493.00	2.8							
01:28:01 p. m.	494.00	2.77							
01:28:01 p. m.	495.00	2.75							
01:28:01 p. m.	496.00	2.69							
01:28:01 p. m.	497.00	2.78							
01:28:01 p. m.	498.00	2.83							
01:28:01 p. m.	499.00	3.33							
01:28:01 p. m.	500.00	2.73							
01:28:01 p. m.	501.00	2.07							
01:28:01 p. m.	502.00	2.27							
01:28:01 p. m.	503.00	2.99							
01:28:01 p. m.	504.00	3.02							
01:28:01 p. m.	505.00	2.9							
01:28:01 p. m.	506.00	2.72							
01:28:01 p. m.	507.00	3.05							
01:28:01 p. m.	508.00	2.76							
01:28:01 p. m.	509.00	2.69							
01:28:01 p. m.	510.00	2.72							
01:28:01 p. m.	511.00	2.67							
01:28:01 p. m.	512.00	2.66							
01:28:01 p. m.	513.00	2.72							
01:28:01 p. m.	514.00	2.94							
01:28:01 p. m.	515.00	2.76							
01:28:01 p. m.	516.00	2.79							
01:28:01 p. m.	517.00	2.92							
01:28:02 p. m.	518.00	2.8							
01:28:02 p. m.	519.00	2.77							
01:28:02 p. m.	520.00	2.95							
01:28:02 p. m.	521.00	2.79							
01:28:02 p. m.	522.00	2.74							
01:28:02 p. m.	523.00	2.8							
01:28:02 p. m.	524.00	2.61							
