Hora	Tiempo(nSeg)	ECG(V)							
01:32:26 p. m.	511.00	1.6							
01:32:26 p. m.	512.00	1.47							
01:32:26 p. m.	513.00	2.05							
01:32:26 p. m.	514.00	3.18							
01:32:26 p. m.	515.00	2.77							
01:32:26 p. m.	516.00	2.61							
01:32:26 p. m.	517.00	2.83							
01:32:26 p. m.	518.00	2.77							
01:32:26 p. m.	519.00	2.7							
01:32:26 p. m.	520.00	2.81							
01:32:26 p. m.	521.00	2.92							
01:32:26 p. m.	522.00	2.77							
01:32:26 p. m.	523.00	2.78							
01:32:26 p. m.	524.00	2.85							
01:32:26 p. m.	525.00	2.78							
01:32:26 p. m.	526.00	2.83							
01:32:26 p. m.	527.00	2.74							
01:32:26 p. m.	528.00	2.77							
01:32:26 p. m.	529.00	2.84							
01:32:26 p. m.	530.00	2.88							
01:32:26 p. m.	531.00	2.83							
01:32:26 p. m.	532.00	2.79							
01:32:26 p. m.	533.00	2.29							
01:32:26 p. m.	534.00	2.76							
01:32:26 p. m.	535.00	3.15							
01:32:26 p. m.	536.00	5							
01:32:26 p. m.	537.00	5							
01:32:26 p. m.	538.00	4.13							
01:32:26 p. m.	539.00	2.83							
01:32:26 p. m.	540.00	2.36							
01:32:27 p. m.	541.00	2.87							
01:32:27 p. m.	542.00	2.89							
01:32:27 p. m.	543.00	2.9							
01:32:27 p. m.	544.00	2.85							
01:32:27 p. m.	545.00	2.86							
01:32:27 p. m.	546.00	2.87							
01:32:27 p. m.	547.00	2.8							
01:32:27 p. m.	548.00	2.84							
01:32:27 p. m.	549.00	2.76							
01:32:27 p. m.	550.00	2.75							
01:32:27 p. m.	551.00	2.74							
01:32:27 p. m.	552.00	2.77							
01:32:27 p. m.	553.00	2.84							
01:32:27 p. m.	554.00	2.74							
01:32:27 p. m.	555.00	2.83							
01:32:27 p. m.	556.00	2.77							
01:32:27 p. m.	557.00	2.8							
01:32:27 p. m.	558.00	2.75							
01:32:27 p. m.	559.00	2.78							
01:32:27 p. m.	560.00	2.05							
01:32:27 p. m.	561.00	1.78							
01:32:27 p. m.	562.00	3.98							
01:32:27 p. m.	563.00	3							
01:32:27 p. m.	564.00	4.38							
01:32:27 p. m.	565.00	3.01							
01:32:27 p. m.	566.00	2.9							
01:32:27 p. m.	567.00	2.66							
01:32:27 p. m.	568.00	2.76							
01:32:27 p. m.	569.00	2.77							
01:32:27 p. m.	570.00	2.73							
01:32:27 p. m.	571.00	2.86							
01:32:27 p. m.	572.00	2.77							
01:32:27 p. m.	573.00	3							
01:32:27 p. m.	574.00	2.8							
01:32:27 p. m.	575.00	2.78							
01:32:27 p. m.	576.00	2.78							
01:32:27 p. m.	577.00	3.08							
01:32:27 p. m.	578.00	2.74							
01:32:27 p. m.	579.00	2.82							
01:32:27 p. m.	580.00	2.83							
01:32:27 p. m.	581.00	2.72							
01:32:27 p. m.	582.00	2.81							
01:32:27 p. m.	583.00	2.73							
01:32:27 p. m.	584.00	2.87							
01:32:27 p. m.	585.00	3							
01:32:27 p. m.	586.00	2.83							
01:32:27 p. m.	587.00	2.39							
01:32:27 p. m.	588.00	2.59							
01:32:28 p. m.	589.00	0							
01:32:28 p. m.	590.00	4.16							
01:32:28 p. m.	591.00	2.3							
01:32:28 p. m.	592.00	5							
01:32:28 p. m.	593.00	3.01							
01:32:28 p. m.	594.00	2.84							
01:32:28 p. m.	595.00	2.78							
01:32:28 p. m.	596.00	2.67							
01:32:28 p. m.	597.00	2.77							
01:32:28 p. m.	598.00	2.78							
01:32:28 p. m.	599.00	2.72							
01:32:28 p. m.	600.00	2.85							
01:32:28 p. m.	601.00	2.76							
01:32:28 p. m.	602.00	2.67							
01:32:28 p. m.	603.00	2.76							
01:32:28 p. m.	604.00	2.77							
01:32:28 p. m.	605.00	2.74							
01:32:28 p. m.	606.00	2.72							
01:32:28 p. m.	607.00	2.81							
01:32:28 p. m.	608.00	2.77							
01:32:28 p. m.	609.00	2.77							
01:32:28 p. m.	610.00	2.8							
01:32:28 p. m.	611.00	2.94							
01:32:28 p. m.	612.00	2.79							
01:32:28 p. m.	613.00	2.77							
01:32:28 p. m.	614.00	2.62							
01:32:28 p. m.	615.00	2.61							
01:32:28 p. m.	616.00	2.11							
01:32:28 p. m.	617.00	2.5							
01:32:28 p. m.	618.00	3.04							
01:32:28 p. m.	619.00	2.53							
01:32:28 p. m.	620.00	3.03							
01:32:28 p. m.	621.00	2.7							
01:32:28 p. m.	622.00	2.83							
01:32:28 p. m.	623.00	2.83							
01:32:28 p. m.	624.00	2.65							
01:32:28 p. m.	625.00	2.8							
01:32:28 p. m.	626.00	2.58							
01:32:28 p. m.	627.00	2.68							
01:32:28 p. m.	628.00	2.79							
01:32:28 p. m.	629.00	2.77							
01:32:28 p. m.	630.00	2.77							
01:32:28 p. m.	631.00	2.73							
01:32:28 p. m.	632.00	2.71							
01:32:28 p. m.	633.00	2.65							
01:32:28 p. m.	634.00	2.75							
01:32:28 p. m.	635.00	2.82							
01:32:28 p. m.	636.00	2.88							
01:32:29 p. m.	637.00	2.72							
01:32:29 p. m.	638.00	2.79							
01:32:29 p. m.	639.00	2.84							
01:32:29 p. m.	640.00	2.79							
01:32:29 p. m.	641.00	2.66							
01:32:29 p. m.	642.00	1.8							
01:32:29 p. m.	643.00	2.91							
01:32:29 p. m.	644.00	2.22							
01:32:29 p. m.	645.00	1.91							
01:32:29 p. m.	646.00	1.66							
01:32:29 p. m.	647.00	2.56							
01:32:29 p. m.	648.00	2.75							
01:32:29 p. m.	649.00	2.77							
01:32:29 p. m.	650.00	2.72							
01:32:29 p. m.	651.00	2.78							
01:32:29 p. m.	652.00	2.81							
01:32:29 p. m.	653.00	2.83							
01:32:29 p. m.	654.00	2.81							
01:32:29 p. m.	655.00	2.73							
01:32:29 p. m.	656.00	2.77							
01:32:29 p. m.	657.00	2.74							
01:32:29 p. m.	658.00	2.73							
01:32:29 p. m.	659.00	2.77							
01:32:29 p. m.	660.00	2.71							
01:32:29 p. m.	661.00	2.8							
01:32:29 p. m.	662.00	2.77							
01:32:29 p. m.	663.00	2.82							
01:32:29 p. m.	664.00	2.69							
01:32:29 p. m.	665.00	2.76							
01:32:29 p. m.	666.00	2.84							
01:32:29 p. m.	667.00	2.49							
01:32:29 p. m.	668.00	2.56							
01:32:29 p. m.	669.00	2.61							
01:32:29 p. m.	670.00	1.94							
01:32:29 p. m.	671.00	2.25							
01:32:29 p. m.	672.00	0							
01:32:29 p. m.	673.00	3.5							
01:32:29 p. m.	674.00	2.74							
01:32:29 p. m.	675.00	2.74							
01:32:29 p. m.	676.00	2.92							
01:32:29 p. m.	677.00	2.92							
01:32:29 p. m.	678.00	2.81							
01:32:29 p. m.	679.00	2.78							
01:32:29 p. m.	680.00	2.79							
01:32:29 p. m.	681.00	2.74							
01:32:29 p. m.	682.00	2.78							
01:32:29 p. m.	683.00	2.86							
01:32:29 p. m.	684.00	2.75							
01:32:30 p. m.	685.00	2.75							
01:32:30 p. m.	686.00	2.86							
01:32:30 p. m.	687.00	2.79							
01:32:30 p. m.	688.00	2.73							
01:32:30 p. m.	689.00	2.78							
01:32:30 p. m.	690.00	2.75							
01:32:30 p. m.	691.00	2.81							
01:32:30 p. m.	692.00	2.9							
01:32:30 p. m.	693.00	2.61							
01:32:30 p. m.	694.00	2.73							
01:32:30 p. m.	695.00	2.83							
01:32:30 p. m.	696.00	2.77							
